title,company,location,remote,apply_url,posted_days_ago,stipend_min,stipend_max,currency,duration_months,required_months,description
QA Automation Intern,Chargebee,"Chennai, Tamil Nadu, India",false,https://example.com/careers/chargebee/15,13,22000,28000,INR,6,0,Automate the regression suite for our billing platform.\n\nRequirements:\n- Selenium or Cypress\n- JavaScript or Python\n- Unit testing\n- Git\n- REST API testing with Postman\n\nNice to have:\n- CI/CD\n- Docker\n- Performance testing
Machine Learning Intern (Computer Vision),Ather Energy,"Bengaluru, Karnataka, India",false,https://example.com/careers/ather-energy/16,6,40000,50000,INR,6,6,Work on perception for our connected vehicle platform.\n\nRequirements:\n- Python\n- OpenCV and computer vision\n- PyTorch\n- NumPy\n- Linux\n\nNice to have:\n- Deep learning\n- Model deployment and MLOps\n- C++\n- Edge deployment
Cloud Intern,Postman,"Remote, India",true,https://example.com/careers/postman/17,5,35000,45000,INR,6,0,Support our multi-cloud infrastructure team.\n\nRequirements:\n- AWS or GCP\n- Linux\n- Docker\n- Terraform\n- Bash scripting\n\nNice to have:\n- Kubernetes\n- Python\n- Observability with Prometheus
Business Analyst Intern,Udaan,"Bengaluru, Karnataka, India",false,https://example.com/careers/udaan/18,10,25000,35000,INR,6,0,Turn marketplace data into decisions for our category teams.\n\nRequirements:\n- SQL\n- Excel\n- Data analysis\n- Communication skills\n- Power BI or Tableau\n\nNice to have:\n- Python\n- Statistics\n- Market research
Content and SEO Intern,Zerodha Varsity,"Remote, India",true,https://example.com/careers/zerodha-varsity/19,12,18000,25000,INR,6,0,Write and optimise financial education content.\n\nRequirements:\n- Content writing\n- SEO\n- Communication skills\n- Google Analytics\n\nNice to have:\n- Copywriting\n- Social media marketing\n- WordPress
Cybersecurity Intern,Druva,"Pune, Maharashtra, India",false,https://example.com/careers/druva/20,7,35000,45000,INR,6,3,Join the product security team on threat modelling and secure code review.\n\nRequirements:\n- Cybersecurity fundamentals\n- Linux\n- Python\n- OWASP\n- Networking\n\nNice to have:\n- Penetration testing\n- Docker\n- Cloud security
Software Developer Intern,Microsoft,"Hyderabad, Telangana, India",false,https://example.com/careers/microsoft/21,3,80000,100000,INR,6,0,Work with engineers on Azure services at scale.\n\nRequirements:\n- C++ or C# or Java\n- Data structures and algorithms\n- System design basics\n- Git\n- SQL\n\nNice to have:\n- Azure\n- Docker\n- Distributed systems
Research Intern (NLP),IIIT Hyderabad LTRC,"Hyderabad, Telangana, India",false,https://example.com/careers/iiit-hyderabad-ltrc/22,15,20000,25000,INR,6,6,Research assistantship on Indian language NLP.\n\nRequirements:\n- Python\n- NLP\n- Machine learning\n- Linux\n- Statistics\n\nNice to have:\n- Transformers\n- PyTorch\n- LaTeX\n- Research publications
Flutter Developer Intern,Khatabook,"Bengaluru, Karnataka, India",false,https://example.com/careers/khatabook/23,8,30000,40000,INR,6,3,Build features for small business owners across India.\n\nRequirements:\n- Flutter and Dart\n- REST APIs\n- Git\n- State management\n\nNice to have:\n- Firebase\n- Kotlin or Swift\n- Unit testing
Growth Marketing Intern,Cult.fit,"Bengaluru, Karnataka, India",false,https://example.com/careers/cultfit/24,14,25000,32000,INR,6,0,Run experiments across paid and organic channels.\n\nRequirements:\n- Digital marketing\n- Google Ads\n- Excel\n- Data analysis\n- Communication skills\n\nNice to have:\n- SQL\n- SEO\n- Social media marketing
Site Reliability Intern,PhonePe,"Bengaluru, Karnataka, India",false,https://example.com/careers/phonepe/25,2,45000,55000,INR,6,6,Keep one of India's largest payment systems running.\n\nRequirements:\n- Linux\n- Python or Go\n- Docker\n- Kubernetes\n- Monitoring with Prometheus and Grafana\n\nNice to have:\n- Kafka\n- Terraform\n- Distributed systems\n- CI/CD
Frontend Engineering Intern,Vercel,Remote,true,https://example.com/careers/vercel/26,1,1500,2500,USD,4,0,Work on the Next.js ecosystem with our frontend team.\n\nRequirements:\n- React\n- Next.js\n- TypeScript\n- JavaScript\n- Git\n\nNice to have:\n- Tailwind CSS\n- Serverless\n- Testing with Playwright
Data Analyst Intern,Arbeitnow,Remote,true,https://example.com/careers/arbeitnow/27,9,1200,1800,EUR,6,0,Analyse job market data across European markets.\n\nRequirements:\n- SQL\n- Python\n- pandas\n- Data analysis\n- Excel\n\nNice to have:\n- Tableau\n- Statistics\n- dbt
Blockchain Developer Intern,Polygon,"Remote, India",true,https://example.com/careers/polygon/28,6,50000,70000,INR,6,3,Build tooling for the Polygon ecosystem.\n\nRequirements:\n- Solidity\n- JavaScript\n- Blockchain fundamentals\n- Git\n- Node.js\n\nNice to have:\n- Rust\n- Web3\n- Smart contract security
Graphic Design Intern,Sleepy Owl Coffee,"Delhi, India",false,https://example.com/careers/sleepy-owl-coffee/29,16,15000,20000,INR,3,0,"Design packaging, social assets and campaign creative.\n\nRequirements:\n- Photoshop and Illustrator\n- Visual design\n- Adobe Creative Suite\n- Communication skills\n\nNice to have:\n- Figma\n- Motion design\n- After Effects"
Finance Intern,Razorpay,"Bengaluru, Karnataka, India",false,https://example.com/careers/razorpay/30,18,25000,30000,INR,6,0,Support the finance team on reporting and reconciliation.\n\nRequirements:\n- Excel\n- Accounting\n- Financial modeling\n- Communication skills\n\nNice to have:\n- SQL\n- Tally\n- Power BI
Junior Software Engineer (Fresher),Infosys,"Pune, Maharashtra, India",false,https://example.com/careers/infosys/31,20,25000,30000,INR,12,0,Graduate engineer trainee programme for 2026 and 2027 batches.\n\nRequirements:\n- Java or Python\n- SQL\n- Data structures and algorithms\n- OOP\n- Communication skills\n\nNice to have:\n- Spring Boot\n- React\n- Cloud fundamentals
Graduate Trainee - Data,Deloitte India,"Gurugram, Haryana, India",false,https://example.com/careers/deloitte-india/32,17,35000,45000,INR,12,0,Entry-level analytics role across consulting engagements.\n\nRequirements:\n- SQL\n- Python\n- Excel\n- Data analysis\n- Communication skills\n\nNice to have:\n- Power BI\n- Tableau\n- Statistics
Machine Learning Intern,Fractal Analytics,"Mumbai, Maharashtra, India",false,https://example.com/careers/fractal-analytics/33,5,35000,45000,INR,6,3,Build models for Fortune 500 clients across retail and CPG.\n\nRequirements:\n- Python\n- scikit-learn\n- SQL\n- Statistics\n- pandas\n\nNice to have:\n- Deep learning\n- MLOps\n- Azure\n- Spark
Backend Intern (Go),Zomato,"Gurugram, Haryana, India",false,https://example.com/careers/zomato/34,4,40000,50000,INR,6,3,Work on the services behind restaurant discovery.\n\nRequirements:\n- Golang or Java\n- REST APIs\n- PostgreSQL\n- Redis\n- Docker\n\nNice to have:\n- Kafka\n- Kubernetes\n- gRPC\n- System design
Product Design Intern,Razorpay,"Bengaluru, Karnataka, India",false,https://example.com/careers/razorpay/35,3,35000,45000,INR,6,0,Design payment experiences for millions of businesses.\n\nRequirements:\n- Figma\n- UX design\n- User research\n- Wireframing\n- Prototyping\n\nNice to have:\n- Design systems\n- Usability testing\n- Accessibility
Data Science Intern (Remote),Turing,Remote,true,https://example.com/careers/turing/36,7,1000,1500,USD,6,0,Support our matching algorithms for global remote engineering roles.\n\nRequirements:\n- Python\n- Machine learning\n- SQL\n- pandas\n- Statistics\n\nNice to have:\n- NLP\n- Recommender systems\n- AWS
iOS Developer Intern,Jupiter Money,"Bengaluru, Karnataka, India",false,https://example.com/careers/jupiter-money/37,11,40000,50000,INR,6,3,Build the iOS banking experience.\n\nRequirements:\n- Swift and SwiftUI\n- REST APIs\n- Git\n- OOP\n\nNice to have:\n- Unit testing\n- CI/CD\n- Firebase
Technical Writing Intern,Hasura,"Remote, India",true,https://example.com/careers/hasura/38,13,20000,28000,INR,6,0,Document GraphQL tooling for a developer audience.\n\nRequirements:\n- Technical writing\n- Communication skills\n- Git\n- Markdown\n\nNice to have:\n- GraphQL\n- REST APIs\n- Python or JavaScript
Analytics Engineering Intern,Sharechat,"Bengaluru, Karnataka, India",false,https://example.com/careers/sharechat/39,6,40000,50000,INR,6,3,Model event data for product analytics across our apps.\n\nRequirements:\n- SQL\n- Python\n- dbt\n- ETL and data pipelines\n- Git\n\nNice to have:\n- Airflow\n- BigQuery\n- Spark\n- Data analysis
Full Stack Intern (MERN),Scaler,"Bengaluru, Karnataka, India",false,https://example.com/careers/scaler/40,2,30000,40000,INR,6,0,Build learning products used by thousands of students.\n\nRequirements:\n- MongoDB\n- Express\n- React\n- Node.js\n- JavaScript\n- Git\n\nNice to have:\n- TypeScript\n- Docker\n- AWS\n- Redis
